PARTIDO,UF,DEPUTADO ESTADUAL,DEPUTADO FEDERAL,SENADOR,SUPLENTE,VICE-GOVERNADOR,GOVERNADOR,VICE-PRESIDENTE,PRESIDENTE
AVANTE,AC,0,0,0,0,0,0,0,0
DC,AC,0,0,0,0,0,0,0,0
DEM,AC,1,1,0,0,0,0,0,0
MDB,AC,3,2,1,2,0,0,0,0
NOVO,AC,0,0,0,0,0,0,0,0
PATRIOTA,AC,0,0,0,0,0,0,0,0
PC do B,AC,2,1,0,0,0,0,0,0
PCB,AC,0,0,0,0,0,0,0,0
PCO,AC,0,0,0,0,0,0,0,0
PDT,AC,1,1,0,0,0,0,0,0
PHS,AC,1,0,0,0,0,0,0,0
PMB,AC,0,0,0,0,0,0,0,0
PMN,AC,0,0,0,0,0,0,0,0
PODE,AC,1,0,0,0,0,0,0,0
PP,AC,3,0,0,0,0,1,0,0
PPL,AC,0,0,0,0,0,0,0,0
PPS,AC,0,0,0,0,0,0,0,0
PR,AC,1,0,0,1,0,0,0,0
PRB,AC,0,0,0,0,0,0,0,0
PROS,AC,1,0,0,0,0,0,0,0
PRP,AC,0,0,0,0,0,0,0,0
PRTB,AC,0,0,0,0,0,0,0,0
PSB,AC,1,0,0,0,0,0,0,0
PSC,AC,0,0,0,0,0,0,0,0
PSD,AC,0,0,1,1,0,0,0,0
PSDB,AC,2,1,0,0,1,0,0,0
PSL,AC,1,0,0,0,0,0,0,0
PSOL,AC,0,0,0,0,0,0,0,0
PSTU,AC,0,0,0,0,0,0,0,0
PT,AC,2,1,0,0,0,0,0,0
PTB,AC,1,0,0,0,0,0,0,0
PTC,AC,0,0,0,0,0,0,0,0
PV,AC,2,0,0,0,0,0,0,0
REDE,AC,0,0,0,0,0,0,0,0
SOLIDARIEDADE,AC,1,1,0,0,0,0,0,0
AVANTE,AL,0,0,0,0,0,0,0,0
DC,AL,0,0,0,0,0,0,0,0
DEM,AL,1,0,0,0,0,0,0,0
MDB,AL,6,1,1,1,1,1,0,0
NOVO,AL,0,0,0,0,0,0,0,0
PATRIOTA,AL,0,0,0,0,0,0,0,0
PC do B,AL,0,0,0,0,0,0,0,0
PCB,AL,0,0,0,0,0,0,0,0
PCO,AL,0,0,0,0,0,0,0,0
PDT,AL,1,0,0,0,0,0,0,0
PHS,AL,0,0,0,0,0,0,0,0
PMB,AL,0,0,0,0,0,0,0,0
PMN,AL,1,0,0,0,0,0,0,0
PODE,AL,0,0,0,0,0,0,0,0
PP,AL,4,1,0,0,0,0,0,0
PPL,AL,0,0,0,0,0,0,0,0
PPS,AL,1,0,0,0,0,0,0,0
PR,AL,0,1,0,0,0,0,0,0
PRB,AL,0,1,0,0,0,0,0,0
PROS,AL,1,0,0,1,0,0,0,0
PRP,AL,0,0,0,0,0,0,0,0
PRTB,AL,4,0,0,1,0,0,0,0
PSB,AL,0,1,0,1,0,0,0,0
PSC,AL,0,0,0,0,0,0,0,0
PSD,AL,2,1,0,0,0,0,0,0
PSDB,AL,2,1,1,0,0,0,0,0
PSL,AL,1,0,0,0,0,0,0,0
PSOL,AL,0,0,0,0,0,0,0,0
PSTU,AL,0,0,0,0,0,0,0,0
PT,AL,0,1,0,0,0,0,0,0
PTB,AL,1,1,0,0,0,0,0,0
PTC,AL,0,0,0,0,0,0,0,0
PV,AL,1,0,0,0,0,0,0,0
REDE,AL,0,0,0,0,0,0,0,0
SOLIDARIEDADE,AL,1,0,0,0,0,0,0,0
AVANTE,AM,0,0,0,0,0,0,0,0
DC,AM,0,0,0,0,0,0,0,0
DEM,AM,0,0,0,0,0,0,0,0
MDB,AM,0,0,0,0,0,0,0,0
NOVO,AM,0,0,0,0,0,0,0,0
PATRIOTA,AM,0,0,0,0,0,0,0,0
PC do B,AM,0,0,0,0,0,0,0,0
PCB,AM,0,0,0,0,0,0,0,0
PCO,AM,0,0,0,0,0,0,0,0
PDT,AM,0,0,0,0,0,0,0,0
