SG_PARTIDO,SG_UF,DS_CARGO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,DS_OCUPACAO
PSB,AC,DEPUTADO ESTADUAL,55,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
MDB,AC,DEPUTADO ESTADUAL,64,FEMININO,SUPERIOR COMPLETO,PARDA,OUTROS
PSL,AC,DEPUTADO ESTADUAL,36,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PT,AC,DEPUTADO ESTADUAL,56,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,DEPUTADO
PSDB,AC,DEPUTADO FEDERAL,45,FEMININO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO
PTB,AC,DEPUTADO ESTADUAL,52,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO
PP,AC,DEPUTADO ESTADUAL,34,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
MDB,AC,SENADOR,55,MASCULINO,SUPERIOR COMPLETO,BRANCA,HISTORIADOR
SOLIDARIEDADE,AC,DEPUTADO FEDERAL,65,FEMININO,SUPERIOR COMPLETO,BRANCA,MAGISTRADO
PC do B,AC,DEPUTADO FEDERAL,54,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,PROFESSOR DE ENSINO FUNDAMENTAL
PC do B,AC,DEPUTADO ESTADUAL,40,MASCULINO,SUPERIOR COMPLETO,PARDA,MÉDICO
PSDB,AC,DEPUTADO ESTADUAL,38,MASCULINO,SUPERIOR COMPLETO,PARDA,POLICIAL MILITAR
DEM,AC,DEPUTADO ESTADUAL,63,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,EMPRESÁRIO
SOLIDARIEDADE,AC,DEPUTADO ESTADUAL,49,MASCULINO,SUPERIOR COMPLETO,PARDA,BANCÁRIO E ECONOMIÁRIO
MDB,AC,DEPUTADO FEDERAL,69,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PDT,AC,DEPUTADO ESTADUAL,58,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,"TRABALHADOR DOS SERVIÇOS DE CONTABILIDADE, DE CAIXA E ASSEMELHADOS"
MDB,AC,DEPUTADO ESTADUAL,43,FEMININO,SUPERIOR COMPLETO,PARDA,OUTROS
PDT,AC,DEPUTADO FEDERAL,45,MASCULINO,SUPERIOR COMPLETO,PARDA,PROFESSOR DE ENSINO MÉDIO
PR,AC,DEPUTADO ESTADUAL,37,MASCULINO,SUPERIOR COMPLETO,PARDA,OUTROS
PP,AC,GOVERNADOR,40,MASCULINO,SUPERIOR COMPLETO,BRANCA,SENADOR
MDB,AC,DEPUTADO ESTADUAL,43,MASCULINO,SUPERIOR COMPLETO,BRANCA,VEREADOR
MDB,AC,DEPUTADO FEDERAL,38,FEMININO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PT,AC,DEPUTADO ESTADUAL,38,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PROS,AC,DEPUTADO ESTADUAL,49,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,HISTORIADOR
PODE,AC,DEPUTADO ESTADUAL,45,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,DEPUTADO
PT,AC,DEPUTADO FEDERAL,39,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
DEM,AC,DEPUTADO FEDERAL,42,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSDB,AC,DEPUTADO ESTADUAL,59,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PV,AC,DEPUTADO ESTADUAL,56,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,ADVOGADO
PV,AC,DEPUTADO ESTADUAL,37,MASCULINO,SUPERIOR COMPLETO,PARDA,EMPRESÁRIO
PP,AC,DEPUTADO ESTADUAL,67,MASCULINO,SUPERIOR COMPLETO,PARDA,OUTROS
PC do B,AC,DEPUTADO ESTADUAL,53,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,PROFESSOR DE ENSINO FUNDAMENTAL
PHS,AC,DEPUTADO ESTADUAL,53,MASCULINO,SUPERIOR COMPLETO,BRANCA,OUTROS
PSD,AC,SENADOR,58,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,SENADOR
PP,AC,DEPUTADO ESTADUAL,44,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSDB,AL,DEPUTADO ESTADUAL,37,MASCULINO,SUPERIOR COMPLETO,BRANCA,VEREADOR
PSB,AL,DEPUTADO FEDERAL,31,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PP,AL,DEPUTADO ESTADUAL,38,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
MDB,AL,DEPUTADO ESTADUAL,58,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSDB,AL,DEPUTADO ESTADUAL,21,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS"
MDB,AL,DEPUTADO ESTADUAL,46,MASCULINO,SUPERIOR COMPLETO,BRANCA,ENGENHEIRO
