PARTIDO,UF,PREFEITO,VICE-PREFEITO,VEREADOR
AVANTE,AC,0,0,0
CIDADANIA,AC,0,0,0
DC,AC,0,0,0
DEM,AC,1,1,18
MDB,AC,5,3,41
NOVO,AC,0,0,0
PATRIOTA,AC,0,0,0
PC do B,AC,0,1,9
PCB,AC,0,0,0
PCO,AC,0,0,0
PDT,AC,3,1,13
PL,AC,0,0,3
PMB,AC,0,0,0
PMN,AC,0,0,0
PODE,AC,0,0,2
PP,AC,5,1,38
PROS,AC,1,2,12
PRTB,AC,0,0,0
PSB,AC,0,2,8
PSC,AC,0,0,0
PSD,AC,2,6,30
PSDB,AC,1,2,22
PSL,AC,0,0,2
PSOL,AC,0,0,0
PSTU,AC,0,0,0
PT,AC,4,2,18
PTB,AC,0,0,2
PTC,AC,0,0,0
PV,AC,0,0,0
REDE,AC,0,0,0
REPUBLICANOS,AC,0,1,4
SOLIDARIEDADE,AC,0,0,9
UP,AC,0,0,0
AVANTE,AL,0,0,5
CIDADANIA,AL,1,2,12
DC,AL,0,0,0
DEM,AL,2,6,52
MDB,AL,38,24,308
NOVO,AL,0,0,0
PATRIOTA,AL,0,0,0
PC do B,AL,0,0,2
PCB,AL,0,0,0
PCO,AL,0,0,0
PDT,AL,0,4,22
PL,AL,3,3,42
PMB,AL,0,0,0
PMN,AL,0,1,13
PODE,AL,1,0,12
PP,AL,28,21,204
PROS,AL,0,3,25
PRTB,AL,0,0,6
PSB,AL,3,2,34
PSC,AL,3,4,42
PSD,AL,4,9,66
PSDB,AL,2,7,37
PSL,AL,0,2,6
PSOL,AL,0,0,0
PSTU,AL,0,0,0
PT,AL,1,1,12
PTB,AL,12,11,106
PTC,AL,0,0,1
PV,AL,0,0,5
REDE,AL,0,0,0
REPUBLICANOS,AL,3,1,41
SOLIDARIEDADE,AL,0,0,13
UP,AL,0,0,0
AVANTE,AM,1,5,18
CIDADANIA,AM,0,1,20
DC,AM,0,0,2
DEM,AM,3,3,30
MDB,AM,12,13,84
NOVO,AM,0,0,0
PATRIOTA,AM,0,1,0
PC do B,AM,0,0,6
PCB,AM,0,0,0
PCO,AM,0,0,0
PDT,AM,1,0,10
PL,AM,2,6,54
PMB,AM,0,0,0
PMN,AM,0,0,2
PODE,AM,0,0,15
PP,AM,7,5,96
PROS,AM,1,2,15
PRTB,AM,0,0,1
PSB,AM,0,0,6
PSC,AM,13,4,72
PSD,AM,6,4,54
PSDB,AM,2,1,27
PSL,AM,0,1,20
PSOL,AM,0,0,0
PSTU,AM,0,0,0
PT,AM,2,1,13
PTB,AM,1,3,18
PTC,AM,0,0,2
PV,AM,0,0,8
REDE,AM,0,0,0
REPUBLICANOS,AM,8,9,84
SOLIDARIEDADE,AM,0,0,7
UP,AM,0,0,0
AVANTE,AP,1,0,4
CIDADANIA,AP,1,0,3
DC,AP,0,0,0
DEM,AP,5,3,22
MDB,AP,0,1,5
NOVO,AP,0,0,0
PATRIOTA,AP,0,0,0
PC do B,AP,0,0,3
PCB,AP,0,0,0
PCO,AP,0,0,0
PDT,AP,2,2,17
PL,AP,1,2,19
PMB,AP,0,0,0
PMN,AP,0,0,0
PODE,AP,0,0,2
PP,AP,2,1,17
PROS,AP,1,2,16
PRTB,AP,1,0,1
PSB,AP,0,0,2
PSC,AP,0,0,3
PSD,AP,0,0,13
PSDB,AP,0,1,10
PSL,AP,1,2,7
PSOL,AP,0,0,1
PSTU,AP,0,0,0
PT,AP,0,1,1
PTB,AP,0,0,1
PTC,AP,0,0,0
PV,AP,0,0,1
REDE,AP,0,0,7
REPUBLICANOS,AP,1,1,15
SOLIDARIEDADE,AP,0,0,4
UP,AP,0,0,0
AVANTE,BA,4,6,64
CIDADANIA,BA,1,1,23
DC,BA,0,2,8
DEM,BA,39,46,388
MDB,BA,14,19,151
NOVO,BA,0,0,0
PATRIOTA,BA,0,0,14
PC do B,BA,16,29,214
PCB,BA,0,0,0
PCO,BA,0,0,0
PDT,BA,13,15,199
PL,BA,20,29,264
PMB,BA,0,2,8
PMN,BA,0,0,7
PODE,BA,4,8,102
PP,BA,88,50,727
PROS,BA,6,5,65
PRTB,BA,0,2,6
PSB,BA,29,28,314
PSC,BA,3,7,69
PSD,BA,105,61,940
PSDB,BA,14,15,164
PSL,BA,1,2,14
PSOL,BA,0,0,8
PSTU,BA,0,0,0
PT,BA,32,42,417
PTB,BA,3,5,34
PTC,BA,0,2,23
PV,BA,0,3,16
REDE,BA,2,3,21
REPUBLICANOS,BA,9,18,173
SOLIDARIEDADE,BA,3,6,46
UP,BA,0,0,0
AVANTE,CE,0,0,10
CIDADANIA,CE,1,2,22
DC,CE,0,0,3
DEM,CE,2,7,70
MDB,CE,16,13,185
NOVO,CE,0,0,0
PATRIOTA,CE,0,0,18
PC do B,CE,2,3,43
PCB,CE,0,0,0
PCO,CE,0,0,0
PDT,CE,65,50,582
PL,CE,13,11,132
PMB,CE,0,0,7
PMN,CE,0,1,8
PODE,CE,1,2,11
PP,CE,9,8,150
PROS,CE,3,2,28
PRTB,CE,0,0,3
PSB,CE,8,19,173
PSC,CE,0,1,4
PSD,CE,25,20,295
PSDB,CE,4,6,63
PSL,CE,0,1,14
PSOL,CE,1,1,5
PSTU,CE,0,0,0
PT,CE,18,23,182
PTB,CE,3,4,59
PTC,CE,0,0,9
PV,CE,0,0,19
REDE,CE,0,0,5
REPUBLICANOS,CE,2,1,31
SOLIDARIEDADE,CE,5,3,61
UP,CE,0,0,0
AVANTE,ES,0,1,12
CIDADANIA,ES,9,5,59
DC,ES,0,1,9
DEM,ES,2,6,43
MDB,ES,8,6,44
NOVO,ES,0,0,0
PATRIOTA,ES,0,1,25
PC do B,ES,0,1,2
PCB,ES,0,0,0
PCO,ES,0,0,0
PDT,ES,7,5,50
PL,ES,0,2,19
PMB,ES,0,1,1
PMN,ES,1,0,31
PODE,ES,2,4,43
PP,ES,6,5,66
PROS,ES,0,2,9
PRTB,ES,0,0,8
PSB,ES,13,9,113
PSC,ES,1,0,12
PSD,ES,6,3,49
PSDB,ES,4,6,52
PSL,ES,2,4,13
PSOL,ES,0,0,1
PSTU,ES,0,0,0
PT,ES,0,1,11
PTB,ES,4,3,25
PTC,ES,0,0,4
PV,ES,0,1,25
REDE,ES,0,0,9
REPUBLICANOS,ES,10,9,89
SOLIDARIEDADE,ES,2,1,25
UP,ES,0,0,0
AVANTE,GO,0,0,17
CIDADANIA,GO,8,18,112
DC,GO,0,0,15
DEM,GO,60,47,342
MDB,GO,29,24,266
NOVO,GO,0,0,0
PATRIOTA,GO,3,4,20
PC do B,GO,0,0,2
PCB,GO,0,0,0
PCO,GO,0,0,0
PDT,GO,14,15,156
PL,GO,13,11,117
PMB,GO,0,0,4
PMN,GO,1,0,4
PODE,GO,14,15,123
PP,GO,31,29,280
PROS,GO,0,3,41
PRTB,GO,1,1,31
PSB,GO,5,1,66
PSC,GO,7,11,93
PSD,GO,9,9,114
PSDB,GO,20,24,171
PSL,GO,5,4,61
PSOL,GO,0,0,0
PSTU,GO,0,0,0
PT,GO,3,2,18
PTB,GO,2,8,48
PTC,GO,0,1,25
PV,GO,0,0,1
REDE,GO,0,0,2
REPUBLICANOS,GO,8,7,81
SOLIDARIEDADE,GO,7,6,64
UP,GO,0,0,0
AVANTE,MA,1,11,76
CIDADANIA,MA,1,0,23
DC,MA,0,0,1
DEM,MA,11,9,168
MDB,MA,7,12,109
NOVO,MA,0,0,0
PATRIOTA,MA,4,7,64
PC do B,MA,22,25,246
PCB,MA,0,0,0
PCO,MA,0,0,0
PDT,MA,42,31,352
PL,MA,40,16,272
PMB,MA,0,1,3
PMN,MA,2,2,14
PODE,MA,1,1,27
PP,MA,17,12,147
PROS,MA,1,5,37
PRTB,MA,0,0,2
PSB,MA,6,4,58
PSC,MA,7,6,93
PSD,MA,5,6,73
PSDB,MA,4,15,93
PSL,MA,2,5,34
PSOL,MA,0,0,0
PSTU,MA,0,0,0
PT,MA,1,10,77
PTB,MA,14,11,135
PTC,MA,0,1,14
PV,MA,0,4,33
REDE,MA,0,0,2
REPUBLICANOS,MA,25,21,211
SOLIDARIEDADE,MA,4,2,48
UP,MA,0,0,0
AVANTE,MG,50,55,461
CIDADANIA,MG,25,24,259
DC,MG,0,0,15
DEM,MG,84,78,757
MDB,MG,99,86,914
NOVO,MG,0,0,4
PATRIOTA,MG,21,29,258
PC do B,MG,3,4,47
PCB,MG,0,0,0
PCO,MG,0,0,0
PDT,MG,35,39,413
PL,MG,41,54,390
PMB,MG,0,1,7
PMN,MG,7,6,61
PODE,MG,16,19,205
PP,MG,65,49,521
PROS,MG,7,7,88
PRTB,MG,2,2,35
PSB,MG,47,39,368
PSC,MG,18,17,216
PSD,MG,78,66,695
PSDB,MG,87,68,731
PSL,MG,14,28,216
