SG_UF,ANALFABETO,ENSINO FUNDAMENTAL COMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MÉDIO COMPLETO,ENSINO MÉDIO INCOMPLETO,LÊ E ESCREVE,SUPERIOR COMPLETO,SUPERIOR INCOMPLETO,MASCULINO,FEMININO,PARDA,BRANCA,PRETA,INDÍGENA,AMARELA
AC,0,1,0,7,0,0,31,1,31,9,22,18,0,0,0
AL,0,0,0,5,1,0,35,3,36,8,13,31,0,0,0
AM,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0
AP,0,0,0,1,0,0,7,0,7,1,3,5,0,0,0
BA,0,3,1,14,1,0,78,13,95,15,38,59,13,0,0
CE,0,2,0,11,1,0,56,6,68,8,23,51,2,0,0
ES,0,1,0,4,0,0,40,3,39,9,12,32,4,0,0
GO,0,1,3,12,0,0,44,6,62,4,13,53,0,0,0
MA,0,2,0,6,0,0,57,3,58,10,21,44,3,0,0
MG,0,3,1,10,0,1,111,12,123,15,19,113,6,0,0
MS,0,1,1,2,0,0,32,4,36,4,8,31,1,0,0
MT,0,0,0,6,2,0,22,2,30,2,6,26,0,0,0
PA,0,2,0,9,1,0,50,4,55,11,30,33,3,0,0
PB,0,0,1,5,0,0,48,2,46,10,16,37,3,0,0
PE,0,1,0,14,0,0,58,9,69,13,12,67,3,0,0
PI,0,1,0,3,0,0,41,3,37,11,18,28,2,0,0
PR,0,1,0,8,0,0,75,8,83,9,5,84,2,0,1
RJ,0,5,1,29,0,0,82,7,101,23,28,86,10,0,0
RN,0,0,0,7,0,0,33,0,33,7,9,29,2,0,0
RO,0,1,1,9,1,0,22,6,34,6,16,21,3,0,0
RR,0,1,0,7,0,0,31,1,31,9,21,17,1,1,0
RS,0,1,1,11,0,0,66,15,79,15,1,91,2,0,0
SC,0,0,0,9,1,0,50,4,52,12,2,61,1,0,0
SE,0,0,0,8,0,0,27,5,32,8,19,21,0,0,0
SP,0,2,1,16,0,0,134,19,141,31,7,156,7,0,2
TO,0,1,1,13,0,0,22,3,33,7,16,22,2,0,0
